number,department,municipality,area,location,address,electoralLoad
00196,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00197,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00198,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00199,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00200,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00201,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00202,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00203,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. POLICARPO PAZ GARCIA,040-COL. MELGAR CASTRO No. 2,355
00204,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. POLICARPO PAZ GARCIA,040-COL. MELGAR CASTRO No. 2,355
00205,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. POLICARPO PAZ GARCIA,040-COL. MELGAR CASTRO No. 2,355
00206,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. POLICARPO PAZ GARCIA,040-COL. MELGAR CASTRO No. 2,355
00207,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. POLICARPO PAZ GARCIA,040-COL. MELGAR CASTRO No. 2,355
00208,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. POLICARPO PAZ GARCIA,040-COL. MELGAR CASTRO No. 2,355
