Código Departamento,Departamento,Código Municipio,Municipio,Área,Sector Electoral,Centro de Votación,JRV,Carga Electoral
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,190,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,191,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,192,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,193,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,194,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,195,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,196,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,197,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,198,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,199,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,200,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,201,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,202,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MELGAR CASTRO No. 2,ESC. POLICARPO PAZ GARCIA,203,355
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MELGAR CASTRO No. 2,ESC. POLICARPO PAZ GARCIA,204,355
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MELGAR CASTRO No. 2,ESC. POLICARPO PAZ GARCIA,205,355
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MELGAR CASTRO No. 2,ESC. POLICARPO PAZ GARCIA,206,355
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MELGAR CASTRO No. 2,ESC. POLICARPO PAZ GARCIA,207,355
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MELGAR CASTRO No. 2,ESC. POLICARPO PAZ GARCIA,208,355
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MELGAR CASTRO No. 2,ESC. POLICARPO PAZ GARCIA,209,355
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MELGAR CASTRO No. 2,ESC. POLICARPO PAZ GARCIA,210,355
